Model,Train R²,Validation R²,Train RMSE,Validation RMSE,Train MAE,Validation MAE,CV RMSE,Overfitting
Lightgbm,0.8513511604308586,0.21655912507848274,0.4635607691800122,1.082647729653207,0.35908499145927325,0.937377604867714,0.6580250708574003,0.6347920353523758
Random Forest,0.9484090226530674,0.19882472140025098,0.27309439757197734,1.094832866437378,0.19731017848198626,0.9090663068042097,0.7657495769922978,0.7495843012528164
Xgboost,0.9002147964553864,0.16899778195469872,0.37980352134174244,1.115026393903147,0.29479256032368945,0.9741211531951021,0.6513177257659957,0.7312170145006877
Lasso,0.6442622117468936,0.1337527840444861,0.7171184786128446,1.1384264621968774,0.5611814696445355,0.9539241428365506,0.7536835959468287,0.5105094277024075
Ridge,0.6468282574606652,0.07714652416439427,0.7145273998897886,1.1750339976930302,0.5599267860507461,0.9899649463684895,0.7522214206598955,0.5696817332962709
